Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_24,Site_cam_24_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,2,63,1,64,0,65,0,65,0,9,56,0,65,0,65,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,18.46,9.23,0,1.54,3.08,490.11,34
Site_cam_25,Site_cam_25_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,8,57,0,65,0,65,1,64,1,32,33,0,65,0,65,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Unburnt,Unburnt_s2,0,Unburnt,0.73,0,75.38,3.08,0,6.15,16.92,642.33,34
Site_cam_26,Site_cam_26_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,2,62,1,63,0,64,0,64,1,63,1,14,50,0,64,2,62,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Unburnt,Unburnt_s2,0,Unburnt,0.66,0,26.56,10.94,3.13,7.81,1.56,625.26,34
Site_cam_27,Site_cam_27_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,0,65,1,64,0,65,0,65,0,28,37,0,65,0,65,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s2,0,Unburnt,0.73,0,52.31,0,0,1.54,0,552.78,34
Site_cam_28,Site_cam_28_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,1,64,0,65,0,65,1,64,1,21,44,0,65,0,65,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,40,4.62,0,1.54,1.54,536.85,34
Site_cam_29,Site_cam_29_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,6,59,0,65,0,65,0,65,0,26,39,0,65,0,65,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s2,0,Unburnt,0.76,0,56.92,0,0,9.23,12.31,513.61,34
Site_cam_30,Site_cam_30_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,4,61,2,63,0,65,2,63,0,65,0,21,44,0,65,0,65,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,44.62,3.08,6.15,10.77,3.08,525.41,34
Site_cam_31,Site_cam_31_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,0,65,9,56,0,65,1,64,1,39,26,0,65,0,65,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s2,0,Unburnt,0.68,0,106.15,0,1.54,3.08,0,500.01,34
Site_cam_32,Site_cam_32_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,2,63,0,65,0,65,0,13,52,0,65,1,64,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s2,0,Unburnt,0.74,0,26.15,4.62,0,3.08,0,607.41,34
Site_cam_33,Site_cam_33_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,1,64,2,63,0,65,0,65,0,12,53,2,63,0,65,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Unburnt,Unburnt_s2,0,Unburnt,0.66,0,26.15,46.15,1.54,0,1.54,593.27,34
